Community Area Name,PIN
,1663
MOUNT GREENWOOD,3
WEST ELSDON,2
ENGLEWOOD,1457
WEST LAWN,13
GRAND BOULEVARD,535
BRIGHTON PARK,12
SOUTH SHORE,197
DOUGLAS,184
IRVING PARK,8
NEAR NORTH SIDE,87
WOODLAWN,362
NEW CITY,1135
WASHINGTON PARK,394
LINCOLN PARK,11
WASHINGTON HEIGHTS,75
EAST SIDE,45
JEFFERSON PARK,5
FULLER PARK,235
LAKE VIEW,18
GREATER GRAND CROSSING,346
WEST RIDGE,10
WEST ENGLEWOOD,1057
SOUTH CHICAGO,494
RIVERDALE,132
AVALON PARK,45
SOUTH DEERING,185
HERMOSA,6
ASHBURN,15
ROSELAND,427
ALBANY PARK,51
BURNSIDE,39
CHATHAM,88
MORGAN PARK,137
NORWOOD PARK,1
ARCHER HEIGHTS,5
WEST GARFIELD PARK,387
CHICAGO LAWN,82
HEGEWISCH,30
NORTH CENTER,12
SOUTH LAWNDALE,99
GAGE PARK,20
CALUMET HEIGHTS,21
LOWER WEST SIDE,75
HUMBOLDT PARK,491
OAKLAND,97
ROGERS PARK,26
NORTH PARK,3
BEVERLY,21
GARFIELD RIDGE,26
PULLMAN,38
NORTH LAWNDALE,947
WEST PULLMAN,531
ARMOUR SQUARE,16
NEAR WEST SIDE,434
WEST TOWN,97
BELMONT CRAGIN,15
FOREST GLEN,5
LINCOLN SQUARE,27
HYDE PARK,4
EAST GARFIELD PARK,743
NEAR SOUTH SIDE,39
AUSTIN,542
KENWOOD,87
LOOP,42
AUBURN GRESHAM,293
PORTAGE PARK,16
UPTOWN,16
LOGAN SQUARE,54
AVONDALE,17
EDGEWATER,21
CLEARING,14
BRIDGEPORT,47
MCKINLEY PARK,28
MONTCLARE,1
DUNNING,5
