"","Name","Description","coords.x1","coords.x2","coords.x3"
"1","Abbey Road","<div>Zone 3</div> <div>E15 3NB</div> <div>Latitude: 51.531952</div> <div>Longitude: 0.003723</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Abbey Road"">More info</a> </div>",0.003723,51.531952,0
"2","Abbey Wood","<div>Zone 4</div> <div>SE2 9RH</div> <div>Latitude: 51.490784</div> <div>Longitude: 0.120272</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Abbey Wood"">More info</a> </div>",0.120272,51.490784,0
"3","Acton Central","<div>Zone 2</div> <div>W3 6BD</div> <div>Latitude: 51.508758</div> <div>Longitude: -0.26343</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Acton Central"">More info</a> </div>",-0.26343,51.508758,0
"4","Acton Main Line","<div>Zone 3</div> <div>W3 0BP</div> <div>Latitude: 51.516887</div> <div>Longitude: -0.26769</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Acton Main Line"">More info</a> </div>",-0.26769,51.516887,0
"5","Acton Town","<div>Zone 3</div> <div>W3 8HN</div> <div>Latitude: 51.503071</div> <div>Longitude: -0.280303</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Acton Town"">More info</a> </div>",-0.280303,51.503071,0
"6","Addington Village","<div>Zone 3,4,5,6</div> <div>CR0 5AR</div> <div>Latitude: 51.356239</div> <div>Longitude: -0.032665</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Addington Village"">More info</a> </div>",-0.032665,51.356239,0
"7","Addiscombe","<div>Zone 3,4,5,6</div> <div>CR0 7AA</div> <div>Latitude: 51.379808</div> <div>Longitude: -0.073213</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Addiscombe"">More info</a> </div>",-0.073213,51.379808,0
"8","Albany Park","<div>Zone 5</div> <div>DA5 3HP</div> <div>Latitude: 51.435816</div> <div>Longitude: 0.126445</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Albany Park"">More info</a> </div>",0.126445,51.435816,0
"9","Aldgate","<div>Zone 1</div> <div>EC3N 1AH</div> <div>Latitude: 51.514342</div> <div>Longitude: -0.075627</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Aldgate"">More info</a> </div>",-0.075627,51.514342,0
"10","Aldgate East","<div>Zone 1</div> <div>E1 7PT</div> <div>Latitude: 51.515082</div> <div>Longitude: -0.073001</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Aldgate East"">More info</a> </div>",-0.073001,51.515082,0
"11","Alexandra Palace","<div>Zone 3</div> <div>N22 7ST</div> <div>Latitude: 51.598263</div> <div>Longitude: -0.120149</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Alexandra Palace"">More info</a> </div>",-0.120149,51.598263,0
"12","All Saints","<div>Zone 2</div> <div>E14 0EH</div> <div>Latitude: 51.510477</div> <div>Longitude: -0.012625</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=All Saints"">More info</a> </div>",-0.012625,51.510477,0
"13","Alperton","<div>Zone 4</div> <div>HA0 4LL</div> <div>Latitude: 51.541209</div> <div>Longitude: -0.299516</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Alperton"">More info</a> </div>",-0.299516,51.541209,0
"14","Amersham","<div>Zone 9</div> <div>HP6 5AZ</div> <div>Latitude: 51.674129</div> <div>Longitude: -0.606514</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Amersham"">More info</a> </div>",-0.606514,51.674129,0
"15","Ampere Way","<div>Zone 3,4,5,6</div> <div>CR0 3JX</div> <div>Latitude: 51.382299</div> <div>Longitude: -0.123637</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Ampere Way"">More info</a> </div>",-0.123637,51.382299,0
"16","Anerley","<div>Zone 4</div> <div>SE20 8AG</div> <div>Latitude: 51.412517</div> <div>Longitude: -0.065137</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Anerley"">More info</a> </div>",-0.065137,51.412517,0
"17","Angel","<div>Zone 1</div> <div>N1 8XB</div> <div>Latitude: 51.532968</div> <div>Longitude: -0.105581</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Angel"">More info</a> </div>",-0.105581,51.532968,0
"18","Angel Road","<div>Zone 4</div> <div>N18 3AY</div> <div>Latitude: 51.61242</div> <div>Longitude: -0.048733</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Angel Road"">More info</a> </div>",-0.048733,51.61242,0
"19","Archway","<div>Zone 2,3</div> <div>N19 5RQ</div> <div>Latitude: 51.565491</div> <div>Longitude: -0.135122</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Archway"">More info</a> </div>",-0.135122,51.565491,0
"20","Arena","<div>Zone 3,4,5,6</div> <div>SE25 4RY</div> <div>Latitude: 51.391523</div> <div>Longitude: -0.058319</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Arena"">More info</a> </div>",-0.058319,51.391523,0
"21","Arnos Grove","<div>Zone 4</div> <div>N11 1AN</div> <div>Latitude: 51.61623</div> <div>Longitude: -0.13427</div> <div> <a href=""https://www.doogal.co.uk/StationMap.php?station=Arnos Grove"">More info</a> </div>",-0.13427,51.61623,0
